instrument,asset_class,direction,setup_type,call_type,timestamp,entry,stoploss,target,rr,rr_tier,outcome,exit_price,r_multiple
ADANIPOWER,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-05T11:15:00+05:30,233.79,234.89,231.71,1.89,01:02,WON,231.71,1.89
ABFRL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-03T14:30:00+05:30,60.64,60.48,61.39,4.67,01:05,LOST,60.48,-1
ABFRL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-03T14:40:00+05:30,60.69,60.48,61.39,3.35,01:03,LOST,60.48,-1
ABFRL,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-11T10:15:00+05:30,59,58.44,60,1.78,01:02,LOST,58.44,-1
ABFRL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-12T10:15:00+05:30,59.3,59.51,59,1.4,01:01,LOST,59.51,-1
ABFRL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-12T10:35:00+05:30,59.39,59.51,59,3.18,01:03,LOST,59.51,-1
ABFRL,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-30T14:50:00+05:30,58.22,58.27,58.12,1.87,01:02,WON,58.12,2
ATGL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-15T14:30:00+05:30,618.4,619.08,615.65,4.03,01:04,WON,615.65,4.04
ATGL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-27T11:15:00+05:30,768.45,759.79,778.45,1.15,01:01,WON,778.45,1.15
ATGL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-12T14:40:00+05:30,725,722.77,728.65,1.63,01:02,WON,728.65,1.64
ABLBL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-25T14:55:00+05:30,102.6,102.68,102.25,4.18,01:04,WON,102.25,4.37
ABLBL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-25T14:55:00+05:30,102.6,102.69,102.25,4.05,01:04,WON,102.25,3.89
ABLBL,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-01T14:55:00+05:30,99.67,100.08,98.2,3.58,01:04,WON,98.2,3.59
ABLBL,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-03T11:00:00+05:30,97.53,98.42,94.86,3,01:03,LOST,98.42,-1
CPPLUS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-19T14:15:00+05:30,2382,2379,2435,17.68,01:18,LOST,2379,-1
CPPLUS,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-21T10:20:00+05:30,2441,2455.03,2392,3.49,01:03,LOST,2455.03,-1
CPPLUS,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-21T10:30:00+05:30,2440,2455.21,2392,3.16,01:03,LOST,2455.21,-1
CPPLUS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-01T10:25:00+05:30,3165.1,3142.13,3193.8,1.25,01:01,LOST,3142.13,-1
CPPLUS,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-01T10:45:00+05:30,3140,3198.43,2892.4,4.24,01:04,LOST,3198.43,-1
AEGISLOG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-20T11:20:00+05:30,717.4,714.32,725.25,2.55,01:03,LOST,714.32,-1
AEGISLOG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-20T11:20:00+05:30,717.4,714.31,725.25,2.54,01:03,LOST,714.31,-1
AEGISLOG,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-26T10:15:00+05:30,735.25,730.28,740.95,1.15,01:01,LOST,730.28,-1
AEGISLOG,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-01T14:40:00+05:30,772.15,777.75,759,2.35,01:02,LOST,777.75,-1
AEGISLOG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-11T11:35:00+05:30,889.4,880.64,899,1.1,01:01,WON,899,1.1
AEGISLOG,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-12T11:30:00+05:30,942.45,932.64,967.7,2.57,01:03,WON,967.7,2.57
AEGISLOG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-17T12:10:00+05:30,1005.85,1000.05,1016,1.75,01:02,LOST,1000.05,-1
AEGISLOG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-25T14:00:00+05:30,1123.5,1116.52,1137.4,1.99,01:02,WON,1137.4,1.99
AEGISLOG,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-01T11:00:00+05:30,1181.7,1189.4,1167.2,1.88,01:02,LOST,1189.4,-1
AEGISLOG,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-07-02T11:35:00+05:30,1294.9,1286.25,1305,1.17,01:01,WON,1305,1.17
ABREL,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-11T11:20:00+05:30,1171,1173.51,1155.9,6.01,01:06,LOST,1173.51,-1
ABREL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-01T14:15:00+05:30,1395.5,1405.56,1361.1,3.42,01:03,LOST,1405.56,-1
ABREL,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-01T14:15:00+05:30,1395.5,1405.54,1361.1,3.43,01:03,LOST,1405.54,-1
ABSLAMC,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-14T10:20:00+05:30,1045.4,1037.47,1058.6,1.67,01:02,LOST,1037.47,-1
ABSLAMC,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-10T10:40:00+05:30,1094,1091.19,1102.3,2.95,01:03,WON,1102.3,2.95
ABSLAMC,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-19T14:20:00+05:30,1165.7,1171.3,1156,1.73,01:02,LOST,1171.3,-1
ABSLAMC,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-19T14:20:00+05:30,1165.7,1171.24,1156,1.75,01:02,LOST,1171.24,-1
ABSLAMC,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-22T14:40:00+05:30,1182,1190.25,1156,3.15,01:03,LOST,1190.25,-1
ABSLAMC,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-22T14:40:00+05:30,1182,1190.25,1156,3.15,01:03,LOST,1190.25,-1
ABSLAMC,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-29T14:15:00+05:30,1189.5,1185.79,1201.5,3.23,01:03,LOST,1185.79,-1
AEGISVOPAK,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-25T12:00:00+05:30,209.06,209.73,205.25,5.69,01:06,LOST,209.73,-1
AEGISVOPAK,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-05T14:40:00+05:30,190.39,189.57,193.92,4.31,01:04,LOST,189.57,-1
AEGISVOPAK,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-22T10:35:00+05:30,239.65,240.48,236.9,3.31,01:03,LOST,240.48,-1
AEGISVOPAK,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-01T14:30:00+05:30,235.47,235.74,234.6,3.27,01:03,LOST,235.74,-1
AEGISVOPAK,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-01T14:30:00+05:30,235.47,235.74,234.6,3.17,01:03,LOST,235.74,-1
AFCONS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-15T10:55:00+05:30,338,334.91,341.85,1.25,01:01,LOST,334.91,-1
AFCONS,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-15T10:55:00+05:30,338,334.9,341.85,1.24,01:01,LOST,334.9,-1
AFCONS,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-19T14:10:00+05:30,307.85,307.41,316,18.61,01:19,WON,316,18.52
AFCONS,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-19T14:15:00+05:30,308.5,307.41,316,6.87,01:07,WON,316,6.88
AFCONS,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-21T10:40:00+05:30,304.8,302.92,308.25,1.84,01:02,LOST,302.92,-1
ABDL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-11T11:10:00+05:30,599.4,595.35,603.75,1.07,01:01,LOST,595.35,-1
ABDL,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-24T14:40:00+05:30,628.45,627.52,630,1.66,01:02,LOST,627.52,-1
AJANTPHARM,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-05-14T10:45:00+05:30,3189.7,3161.56,3274.13,3,01:03,WON,3274.13,3
AJANTPHARM,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-22T14:40:00+05:30,3186.6,3173.95,3199.7,1.04,01:01,WON,3199.7,1.04
AJANTPHARM,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-22T14:40:00+05:30,3186.6,3173.91,3199.7,1.03,01:01,WON,3199.7,1.03
AJANTPHARM,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-29T11:20:00+05:30,3294.4,3282.21,3314.9,1.68,01:02,WON,3314.9,1.68
AJANTPHARM,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-29T14:40:00+05:30,3389,3379.35,3433,4.56,01:05,WON,3433,4.56
ALKEM,EQUITY,SHORT,BOS-OB-Retest,INTRADAY,2026-06-09T13:45:00+05:30,5355,5363.15,5342.5,1.53,01:02,LOST,5363.15,-1
AFFLE,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-14T11:30:00+05:30,1496.6,1473.65,1529.8,1.45,01:01,LOST,1473.65,-1
AFFLE,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-15T11:30:00+05:30,1478,1471.16,1499.6,3.16,01:03,LOST,1471.16,-1
AFFLE,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-15T14:35:00+05:30,1480,1473.15,1499.6,2.86,01:03,LOST,1473.15,-1
AFFLE,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-20T12:15:00+05:30,1438.2,1423.12,1460.2,1.46,01:01,LOST,1423.12,-1
AFFLE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-22T10:30:00+05:30,1450.4,1453.73,1435.4,4.51,01:05,LOST,1453.73,-1
AFFLE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-22T10:45:00+05:30,1449.5,1453.67,1435.4,3.38,01:03,LOST,1453.67,-1
AFFLE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-05-26T12:10:00+05:30,1508.9,1527.42,1481.9,1.46,01:01,WON,1481.9,1.46
AFFLE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-06-05T11:10:00+05:30,1486.4,1490.41,1481.9,1.12,01:01,LOST,1490.41,-1
ARE&M,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-03T14:40:00+05:30,859.75,857.78,869.45,4.92,01:05,LOST,857.78,-1
ARE&M,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-18T14:10:00+05:30,850.3,849.08,852.9,2.13,01:02,WON,852.9,2.13
AMBER,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-19T10:45:00+05:30,7088,7039.19,7208,2.46,01:02,LOST,7039.19,-1
AMBER,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-19T11:25:00+05:30,7093.5,7039.1,7208,2.1,01:02,LOST,7039.1,-1
AMBER,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-18T10:30:00+05:30,8028,7949.34,8271,3.09,01:03,LOST,7949.34,-1
ANGELONE,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-03T14:15:00+05:30,334.95,331.51,340.75,1.68,01:02,WON,340.75,1.69
ANGELONE,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-04T10:50:00+05:30,338.35,336.26,340.75,1.15,01:01,WON,340.75,1.15
ANGELONE,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-18T10:30:00+05:30,351.35,349.03,354.4,1.32,01:01,WON,354.4,1.31
ANGELONE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-02T11:40:00+05:30,341.9,343.5,339.9,1.25,01:01,LOST,343.5,-1
ANGELONE,EQUITY,SHORT,Liquidity-Sweep,INTRADAY,2026-07-02T11:40:00+05:30,341.9,343.5,339.9,1.25,01:01,LOST,343.5,-1
ANANDRATHI,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-12T11:35:00+05:30,1784.75,1774.53,1798,1.3,01:01,LOST,1774.53,-1
ANANDRATHI,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-12T11:35:00+05:30,1784.75,1774.5,1798,1.29,01:01,LOST,1774.5,-1
ANANDRATHI,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-01T13:45:00+05:30,1750,1749.21,1755.95,7.49,01:07,LOST,1749.21,-1
ANANDRATHI,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-06-19T14:15:00+05:30,1851.2,1850.47,1856.5,7.31,01:07,LOST,1850.47,-1
ANANDRATHI,EQUITY,LONG,BOS-OB-Retest,INTRADAY,2026-07-03T14:35:00+05:30,2069,2061.29,2085,2.08,01:02,LOST,2061.29,-1
AMBUJACEM,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-10T11:30:00+05:30,414.4,412.62,417.15,1.54,01:02,LOST,412.62,-1
AMBUJACEM,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-16T14:50:00+05:30,426.75,426.39,428,3.48,01:03,LOST,426.39,-1
AMBUJACEM,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-16T14:50:00+05:30,426.75,426.4,428,3.53,01:04,LOST,426.4,-1
AMBUJACEM,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-29T10:55:00+05:30,423.1,421.08,425.15,1.01,01:01,WON,425.15,1.01
ANANTRAJ,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-06-24T10:20:00+05:30,520,519.26,522.95,4.01,01:04,LOST,519.26,-1
ANTHEM,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-29T15:10:00+05:30,759.05,756.15,762.2,1.09,01:01,LOST,756.15,-1
ANTHEM,EQUITY,LONG,Liquidity-Sweep,INTRADAY,2026-05-29T15:10:00+05:30,759.05,756.15,762.2,1.08,01:01,LOST,756.15,-1
